qid	parsed_subj	parsed_pred	sid	pretty_values	proc_values	answers	answer
D001Q01	苏东坡在中国历史上，	國籍	['Q36020']	['Q319460 北宋']	[(['北宋'], [])]	['北宋']	北宋
D001Q02	not_parsed	not_parsed					
D001Q03	苏东坡	父親	['Q36020']	['Q947039 蘇洵']	[(['苏洵'], ['苏明允', '老泉', '文', '明允', '苏老泉'])]	['苏洵']	苏洵
D001Q04	not_parsed	not_parsed					
D001Q05	not_parsed	not_parsed					
D001Q06	韩愈在中国历史上，	國籍	['Q318998']	['Q9683 唐朝']	[(['唐朝'], ['唐', '唐代', "T'ang Ch'ao", 'Táng Cháo'])]	['唐', '唐代']	唐代
D001Q07	not_parsed	not_parsed					
D001Q08	not_parsed	not_parsed					
D001Q09	辛弃疾	國籍	['Q1155987']	['Q7462 宋朝']	[(['宋朝'], ['两宋', '宋代', '炎宋', '大宋', '赵宋', '宋'])]	['宋代', '宋']	宋代
D001Q11	not_parsed	not_parsed					
D002Q01	苏东坡	出生地	['Q36020']	['Q427097 眉山市']	[(['眉山市'], ['眉山'])]	[]	None
D002Q02	苏东坡	出生日期	['Q36020']	['1037-01-08T00:00:00.000Z']	['1037年1月8日', '-874年1月8日', '1037年1月8號', '-874年1月8號', '1037年1月', '-874年1月', '1037年', '-874年']	[]	None
D002Q03	not_parsed	not_parsed					
D002Q04	not_parsed	not_parsed					
D002Q05	not_parsed	not_parsed					
D002Q06	not_parsed	not_parsed					
D002Q08	not_parsed	not_parsed					
D002Q09	not_parsed	not_parsed					
D002Q10	not_parsed	not_parsed					
D003Q01	not_parsed	not_parsed					
D003Q03	not_parsed	not_parsed					
D003Q04	not_parsed	not_parsed					
D003Q05	not_parsed	not_parsed					
D003Q06	not_parsed	not_parsed					
D003Q07	not_parsed	not_parsed					
D004Q01	not_parsed	not_parsed					
D004Q02	not_parsed	not_parsed					
D004Q03	not_parsed	not_parsed					
D004Q04	not_parsed	not_parsed					
D004Q06	苏东坡	死亡地	['Q36020']	['Q57970 常州市']	[(['常州市'], ['龙城', '常州'])]	[]	None
D004Q07	not_parsed	not_parsed					
D004Q08	not_parsed	not_parsed					
D004Q09	not_parsed	not_parsed					
D004Q10	not_parsed	not_parsed					
D006Q01	not_parsed	not_parsed					
D006Q02	not_parsed	not_parsed					
D006Q03	not_parsed	not_parsed					
D006Q04	not_parsed	not_parsed					
D007Q02	not_parsed	not_parsed					
D007Q03	not_parsed	not_parsed					
D007Q04	not_parsed	not_parsed					
D007Q05	not_parsed	not_parsed					
D008Q01	not_parsed	not_parsed					
D008Q02	not_parsed	not_parsed					
D008Q04	not_parsed	not_parsed					
D008Q05	not_parsed	not_parsed					
D008Q06	not_parsed	not_parsed					
D008Q07	not_parsed	not_parsed					
D008Q08	not_parsed	not_parsed					
D008Q09	not_parsed	not_parsed					
D008Q10	not_parsed	not_parsed					
D008Q11	not_parsed	not_parsed					
D009Q01	not_parsed	not_parsed					
D009Q02	not_parsed	not_parsed					
D009Q03	not_parsed	not_parsed					
D009Q04	not_parsed	not_parsed					
D010Q01	「茉莉花革命」	成立或建立時間	['Q46959']	[]	[]	[]	None
D010Q02	「茉莉花革命」发	國籍	['Q46959']	[]	[]	[]	None
D010Q03	not_parsed	not_parsed					
D010Q04	not_parsed	not_parsed					
D010Q05	not_parsed	not_parsed					
D010Q06	not_parsed	not_parsed					
D011Q01	not_parsed	not_parsed					
D011Q02	not_parsed	not_parsed					
D011Q03	not_parsed	not_parsed					
D011Q04	not_parsed	not_parsed					
D011Q05	not_parsed	not_parsed					
D011Q06	not_parsed	not_parsed					
D011Q07	not_parsed	not_parsed					
D011Q08	not_parsed	not_parsed					
D013Q01	not_parsed	not_parsed					
D013Q03	not_parsed	not_parsed					
D013Q04	not_parsed	not_parsed					
D013Q05	not_parsed	not_parsed					
D013Q06	not_parsed	not_parsed					
D013Q07	not_parsed	not_parsed					
D013Q08	高雄以前	名字	['Q16900832', 'Q22343543', 'Q45579367', 'Q5336671']	['高雄', '高雄', '高雄', '高雄']	['高雄', '高雄', '高雄', '高雄']	['高雄市', '高雄市', '高雄市', '高雄市']	高雄市
D013Q10	not_parsed	not_parsed					
D013Q11	not_parsed	not_parsed					
D013Q12	not_parsed	not_parsed					
D014Q01	not_parsed	not_parsed					
D014Q02	not_parsed	not_parsed					
D014Q04	not_parsed	not_parsed					
D014Q05	not_parsed	not_parsed					
D014Q06	not_parsed	not_parsed					
D014Q07	not_parsed	not_parsed					
D014Q08	not_parsed	not_parsed					
D014Q09	not_parsed	not_parsed					
D015Q01	not_parsed	not_parsed					
D015Q02	not_parsed	not_parsed					
D015Q03	not_parsed	not_parsed					
D015Q05	not_parsed	not_parsed					
D015Q06	not_parsed	not_parsed					
D016Q01	not_parsed	not_parsed					
D016Q02	not_parsed	not_parsed					
D016Q03	not_parsed	not_parsed					
D016Q04	not_parsed	not_parsed					
D016Q05	not_parsed	not_parsed					
D031Q02	not_parsed	not_parsed					
D031Q03	not_parsed	not_parsed					
D031Q04	not_parsed	not_parsed					
D032Q01	not_parsed	not_parsed					
D032Q02	not_parsed	not_parsed					
D032Q03	not_parsed	not_parsed					
D032Q04	not_parsed	not_parsed					
D032Q05	not_parsed	not_parsed					
D032Q06	not_parsed	not_parsed					
D032Q07	not_parsed	not_parsed					
D032Q08	not_parsed	not_parsed					
D032Q09	not_parsed	not_parsed					
D032Q10	not_parsed	not_parsed					
D033Q01	not_parsed	not_parsed					
D033Q03	not_parsed	not_parsed					
D033Q05	not_parsed	not_parsed					
D033Q06	not_parsed	not_parsed					
D033Q07	not_parsed	not_parsed					
D033Q08	not_parsed	not_parsed					
D033Q09	not_parsed	not_parsed					
D033Q10	not_parsed	not_parsed					
D033Q11	not_parsed	not_parsed					
D033Q12	not_parsed	not_parsed					
D033Q13	not_parsed	not_parsed					
D033Q14	not_parsed	not_parsed					
D033Q15	not_parsed	not_parsed					
D035Q01	not_parsed	not_parsed					
D035Q02	not_parsed	not_parsed					
D035Q03	not_parsed	not_parsed					
D035Q04	not_parsed	not_parsed					
D035Q05	not_parsed	not_parsed					
D035Q08	not_parsed	not_parsed					
D035Q09	not_parsed	not_parsed					
D035Q10	not_parsed	not_parsed					
D037Q06	not_parsed	not_parsed					
D037Q11	not_parsed	not_parsed					
D037Q12	not_parsed	not_parsed					
D037Q17	not_parsed	not_parsed					
D037Q18	not_parsed	not_parsed					
D037Q19	not_parsed	not_parsed					
D037Q20	not_parsed	not_parsed					
D038Q01	not_parsed	not_parsed					
D038Q02	not_parsed	not_parsed					
D038Q03	not_parsed	not_parsed					
D038Q05	not_parsed	not_parsed					
D038Q06	图灵	國籍	[]	[]	[]	[]	None
D038Q07	图灵	出生日期	[]	[]	[]	[]	None
D038Q08	not_parsed	not_parsed					
D038Q09	not_parsed	not_parsed					
D038Q10	not_parsed	not_parsed					
D038Q11	not_parsed	not_parsed					
D039Q01	not_parsed	not_parsed					
D039Q02	not_parsed	not_parsed					
D039Q04	not_parsed	not_parsed					
D039Q05	not_parsed	not_parsed					
D039Q06	not_parsed	not_parsed					
D042Q02	not_parsed	not_parsed					
D042Q03	not_parsed	not_parsed					
D042Q05	not_parsed	not_parsed					
D042Q06	not_parsed	not_parsed					
D042Q08	not_parsed	not_parsed					
D042Q09	not_parsed	not_parsed					
D042Q10	not_parsed	not_parsed					
D042Q14	not_parsed	not_parsed					
D042Q15	not_parsed	not_parsed					
D045Q01	not_parsed	not_parsed					
D045Q03	not_parsed	not_parsed					
D045Q04	not_parsed	not_parsed					
D045Q05	not_parsed	not_parsed					
D046Q02	not_parsed	not_parsed					
D046Q03	not_parsed	not_parsed					
D046Q04	not_parsed	not_parsed					
D046Q05	not_parsed	not_parsed					
D046Q06	not_parsed	not_parsed					
D046Q08	not_parsed	not_parsed					
D048Q01	not_parsed	not_parsed					
