D001Q01	苏东坡在中国历史上，是哪一个朝代的人？	['北宋']	基础题	Date-Duration	Single-Span-Extraction
D001Q02	苏东坡是中国哪个省份的人？	['四川省']	基础题	Location	Single-Span-Extraction
D001Q03	苏东坡的爸爸叫什么名字?	['苏洵']	基础题	Person	Single-Span-Extraction
D001Q04	苏文忠公指的是谁?	['苏轼']	进阶题	Person	Single-Span-Extraction
D001Q05	《苏文忠公全集》是由何人编纂？	['王宗稷']	基础题	Person	Single-Span-Extraction
D001Q06	韩愈在中国历史上，是哪一个朝代的人？	['唐代']	进阶题	Date-Duration	Single-Span-Extraction
D001Q07	苏东坡与韩愈是否为好朋友?	['否']	进阶题	YesNo	YesNo
D001Q08	苏东坡曾担任过哪些职位?	['端明殿学士、翰林学士及礼部尚书']	进阶题	Organization	Multi-Spans-Extraction
D001Q09	辛弃疾是哪一个朝代的人？	['南宋']	基础题	Date-Duration	Single-Span-Extraction
D001Q11	苏东坡为何被后人认为是文学艺术史上的通才?	['']	申论	Event	Single-Span-Extraction
D002Q01	苏东坡的老家在哪?	['蜀']	基础题	Location	Single-Span-Extraction
D002Q02	苏东坡出生于哪一年?	['1037年']	进阶题	Date-Duration	Single-Span-Extraction
D002Q03	苏东坡和谁一起进京参加会考?	['苏辙']	基础题	Person	Single-Span-Extraction
D002Q04	苏东坡在会考中所写的作文题目为何?	['刑赏忠厚之至论']	基础题	Object	Single-Span-Extraction
D002Q05	苏东坡与曾巩是否同为欧阳修的学生?	['否']	进阶题	YesNo	YesNo
D002Q06	苏东坡与王安石在职场上是否理念相同?	['否']	基础题	YesNo	YesNo
D002Q08	王安石在宋朝哪一位皇帝手下做事?	['神宗']	基础题	Person	Single-Span-Extraction
D002Q09	宋神宗是否信任苏东坡?	['否']	进阶题	YesNo	YesNo
D002Q10	在苏东坡被王安石诬陷时，谁为他说话？	['范镇']	进阶题	Person	Single-Span-Extraction
D003Q01	上官均是否赞成王安石的新政改革?	['否']	基础题	YesNo	YesNo
D003Q03	在「乌台诗案」中，有哪些人出面救了苏东坡？	['太皇太后曹氏与王安礼等人', '太皇太后曹氏与王安礼']	进阶题	Person	Multi-Spans-Extraction
D003Q04	苏东坡因「乌台诗案」被贬到什么地方？	['黄州', '湖北省黄冈市', '湖北省', '黄冈市']	基础题	Location	Single-Span-Extraction
D003Q05	宋神宗熙宁十月，黄河溃堤时，苏东坡人在哪里？	['徐州']	基础题	Location	Single-Span-Extraction
D003Q06	苏东坡被贬至黄州时，认识了哪些朋友？	['张怀民与佛印']	进阶题	Person	Multi-Spans-Extraction
D003Q07	西元1079年时徐州发生水灾的原因为何？	['黄河决口']	基础题	Event	Single-Span-Extraction
D004Q01	苏东坡在宋哲宗时期,曾出任过哪些官职?	['礼部郎中、中书舍人、翰林学士、龙图阁学士、知州与礼部尚书']	基础题	Organization	Multi-Spans-Extraction
D004Q02	苏东坡曾在哪些城市工作过?	['杭州、颍州、惠州、儋州（海南岛）', '杭州、颍州、惠州、海南岛', '杭州、颍州、惠州、儋州']	基础题	Location	Multi-Spans-Extraction
D004Q03	苏东坡工作地点离京城最远的地点在哪里?	['儋州', '海南岛', '儋州（海南岛）']	进阶题	Location	Single-Span-Extraction
D004Q04	苏东坡哪一年离开海南岛?	['元符三年', '1100年', '元符三年（1100年）']	进阶题	Date-Duration	Single-Span-Extraction
D004Q06	苏东坡在哪个城市过世?	['常州']	基础题	Location	Single-Span-Extraction
D004Q07	苏东坡死后葬在哪里?	['郏县小峨眉山', '郏县', '小峨眉山']	基础题	Location	Single-Span-Extraction
D004Q08	苏东坡对于王安石变法的态度为何?	['反对']	进阶题	Misc	Single-Span-Extraction
D004Q09	苏东坡是否为一好官?	['是']	进阶题	YesNo	YesNo
D004Q10	苏东坡是否弊案缠身？	['否']	进阶题	YesNo	YesNo
D006Q01	首次使用「阿拉伯之春」描述阿拉伯世界的革命浪潮，是哪一个媒体？	['外交政策', '《外交政策》杂志', '《外交政策》']	基础题	Organization	Single-Span-Extraction
D006Q02	「阿拉伯之春」运动中，走上街头的民众的诉求为何?	['']	申论	Object	Single-Span-Extraction
D006Q03	在「阿拉伯之春」运动中，哪一个国家成功从专制政体走向民主？	['突尼西亚']	基础题	Organization	Single-Span-Extraction
